arquivo_fonte;tipo_documento;periodo_origem;ano;mes;secao;codigo_conta;nome_conta;metrica;valor;percentual;observacao
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01;RECEITA;realizado;27979,92;100,00;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.01;Receita Operacional;realizado;28122,31;100,51;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.01.01;Taxa Condominial;realizado;14084,62;50,34;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.01.02;Taxa Extra;realizado;14037,69;50,17;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.04;Receita por Obrigação Individual;realizado;70,67;0,25;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.04.05;Multa por Infração;realizado;70,67;0,25;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.07;Juros, Multa, Correções Monetárias;realizado;79,02;0,28;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.07.01;Multa;realizado;36,46;0,13;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.07.02;Juros;realizado;42,56;0,15;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.08;Rendimentos;realizado;89,17;0,32;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.08.01;Rendimento de Poupança;realizado;89,17;0,32;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.09;Outras Receitas Operacionais;realizado;-381,25;-1,36;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;receita;01.09.09;Desconto;realizado;-381,25;-1,36;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02;DESPESA;realizado;37933,13;100,00;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01;Despesa com Pessoal;realizado;3783,48;9,97;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.01;Salário de Funcionários;realizado;592,14;1,56;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.02;INSS;realizado;504,91;1,33;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.03;PIS;realizado;15,29;0,04;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.05;Vale Transporte;realizado;416,00;1,10;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.06;FGTS;realizado;122,36;0,32;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.11;Pagamento de 13º salário;realizado;764,81;2,02;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.14;Serviços Prestados - Pessoal;realizado;949,13;2,50;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.16;Pensão;realizado;368,84;0,97;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.23;Benefício Social;realizado;30,00;0,08;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.01.32;Plano Odontológico;realizado;20,00;0,05;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.02;Empresas Públicas e Privadas;realizado;3223,49;8,50;
dados/202512.pdf;balancete_mensal_pdf;Novembro 2025;2025;11;despesa;02.02.01;Consumo de Energia;realizado;696,09;1,84;
